Held-out event,Model,N,Positive rate,Accuracy,Precision,Recall,F1-score,ROC-AUC,TN,FP,FN,TP
2012 Colorado wildfires,Baseline 0.50,1171,0.5747224594363791,0.6865926558497011,0.7405660377358491,0.6998514115898959,0.719633307868602,0.7599730273247521,333,165,202,471
2012 Colorado wildfires,Hybrid 0.47,1171,0.5747224594363791,0.7207514944491887,0.736986301369863,0.799405646359584,0.766928011404134,0.7933591722014357,306,192,135,538
2012 Costa Rica earthquake,Baseline 0.50,1261,0.4948453608247423,0.44885011895321175,0.4397283531409168,0.4150641025641026,0.427040395713108,0.436896208187417,307,330,365,259
2012 Costa Rica earthquake,Hybrid 0.47,1261,0.4948453608247423,0.4781919111816019,0.46443514644351463,0.3557692307692308,0.4029038112522686,0.4599384132351165,381,256,402,222
2013 Boston bombings,Baseline 0.50,971,0.4098867147270855,0.7548918640576725,0.7162162162162162,0.6658291457286433,0.6901041666666666,0.8164776763398143,468,105,133,265
2013 Boston bombings,Hybrid 0.47,971,0.4098867147270855,0.776519052523172,0.760806916426513,0.6633165829145728,0.7087248322147651,0.8524472274110517,490,83,134,264
2013 Alberta floods,Baseline 0.50,967,0.6897621509824199,0.6111685625646329,0.8986301369863013,0.4917541229385307,0.6356589147286822,0.7912918540729635,263,37,339,328
2013 Alberta floods,Hybrid 0.47,967,0.6897621509824199,0.5811789038262668,0.9171974522292994,0.431784107946027,0.5871559633027523,0.8061769115442279,274,26,379,288
2013 Singapore haze,Baseline 0.50,779,0.44801026957637996,0.7227214377406932,0.6594724220623501,0.7879656160458453,0.7180156657963447,0.786083161191444,288,142,74,275
2013 Singapore haze,Hybrid 0.47,779,0.44801026957637996,0.7098844672657253,0.642691415313225,0.7936962750716332,0.7102564102564103,0.7958152861997735,276,154,72,277
2012 Colorado wildfires,Escalate if either positive,1171,0.5747224594363791,0.7147736976942783,0.7221494102228048,0.8187221396731055,0.7674094707520891,0.7855359028983692,286,212,122,551
2012 Costa Rica earthquake,Escalate if either positive,1261,0.4948453608247423,0.44805709754163364,0.44155844155844154,0.4358974358974359,0.43870967741935485,0.4425882039206215,293,344,352,272
2013 Boston bombings,Escalate if either positive,971,0.4098867147270855,0.7651905252317199,0.7043269230769231,0.7361809045226131,0.7199017199017199,0.8272273233532409,450,123,105,293
2013 Alberta floods,Escalate if either positive,967,0.6897621509824199,0.6525336091003102,0.8968824940047961,0.56071964017991,0.6900369003690037,0.7969440279860069,257,43,293,374
2013 Singapore haze,Escalate if either positive,779,0.44801026957637996,0.6983311938382541,0.6207627118644068,0.839541547277937,0.7137637028014616,0.7962784034117413,251,179,56,293
