Feature,Mean absolute SHAP
word__of,0.05111526581214342
word__URL,0.043513959359442946
word__Rica,0.04038169392820707
word__Costa Rica,0.03928047314371273
word__Costa,0.03909410258090619
word__PSI,0.03334780050453641
word__earthquake,0.03239588704743691
word__at,0.030686172305224267
word__the,0.029840263990107908
char__ire,0.026169262128885932
char__ed ,0.026126777194705752
word__you,0.025380884792383675
word__CostaRica,0.02451901930127577
word__fire,0.023865324623965425
word__my,0.02304201999244796
word__to,0.022701545892805777
char__es ,0.020451249034641485
word__from,0.01861303797795143
word__wildfire,0.018542837014634887
word__Colorado,0.018399373978244614
